Sl.No.,Grant Type,Dist. Name,Block name,DDO  Office,DDO Designation,DDO Name,Cluster code,DDO CODE,School code,"Name of the  PS/UPS/HS/CRC/MRC 
Grant Released",Grant Type,Schcat1,Enrol,Now proposed to release 100% amount,General component (2202-01-001-15-05-500-503),SC component (2202-01-789-15-05-500-503),ST component (2202-01-796-15-05-500-503)
23,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOURAVELLI,Gazetted Headmaster,"A.Jyothi, M.A.B.Ed",36180700205,18050308007,36180700205,ZPHS GOURAVELLI,Sports Grant,03_HS,158,25000,18000,4250,2750
24,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",3618070003,18050308010,36180701201,MPPS MANCHINEELA BANDA,Composit School Grant,01_PS,37,25000,18000,4250,2750
25,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",3618070003,18050308010,36180701202,MPPS YATAKARLAPALLY,Composit School Grant,01_PS,20,10000,7200,1700,1100
26,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",3618070003,18050308010,36180701203,MPPS KESHAVAPUR,Composit School Grant,01_PS,45,25000,18000,4250,2750
27,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",3618070003,18050308010,36180701301,MPPS MALLAMPALLY,Composit School Grant,01_PS,45,25000,18000,4250,2750
28,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",3618070003,18050308010,36180701304,MPPS BANJARA HILLS,Composit School Grant,01_PS,27,10000,7200,1700,1100
29,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",3618070003,18050308010,36180701305,MPPS GOLLAPALLY,Composit School Grant,01_PS,24,10000,7200,1700,1100
30,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",3618070003,18050308010,36180701306,MPUPS MOTHUKULAPALLY,Composit School Grant,02_UPS,52,25000,18000,4250,2750
31,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",3618070003,18050308010,36180701403,MPPS DASUTANDA,Composit School Grant,01_PS,15,10000,7200,1700,1100
32,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",3618070003,18050308010,36180701404,MPPS RAJU TANDA,Composit School Grant,01_PS,11,10000,7200,1700,1100
33,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",3618070003,18050308010,36180701405,MPPS (SC) KATKUR,Composit School Grant,01_PS,17,10000,7200,1700,1100
34,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",36180701307,18050308010,36180701307,ZPHS MALLAMPALLY,Composit School Grant,03_HS,84,25000,18000,4250,2750
35,CRC Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",3618070003,18050308010,3618070003,ZPHS MALLMPALLY,CRC Grant,05_CRC,,43000,30960,7310,4730
36,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",36180701306,18050308010,36180701306,MPUPS MOTHUKULAPALLY,Sports Grant,02_UPS,53,10000,7200,1700,1100
37,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",36180701202,18050308010,36180701202,MPPS YATAKARLAPALLY,Sports Grant,01_PS,20,5000,3600,850,550
38,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",36180701201,18050308010,36180701201,MPPS MANCHINEELA BANDA,Sports Grant,01_PS,37,5000,3600,850,550
39,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",36180701301,18050308010,36180701301,MPPS MALLAMPALLY,Sports Grant,01_PS,45,5000,3600,850,550
40,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",36180701203,18050308010,36180701203,MPPS KESHAVAPUR,Sports Grant,01_PS,45,5000,3600,850,550
41,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",36180701305,18050308010,36180701305,MPPS GOLLAPALLY,Sports Grant,01_PS,24,5000,3600,850,550
42,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",36180701403,18050308010,36180701403,MPPS DASUTANDA,Sports Grant,01_PS,15,5000,3600,850,550
43,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",36180701304,18050308010,36180701304,MPPS BANJARA HILLS,Sports Grant,01_PS,27,5000,3600,850,550
44,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",36180701405,18050308010,36180701405,MPPS (SC) KATKUR,Sports Grant,01_PS,18,5000,3600,850,550
45,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",36180701404,18050308010,36180701404,MPPS RAJU TANDA,Sports Grant,01_PS,11,5000,3600,850,550
46,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS MALLAMPALLY,Gazetted Headmaster,"G.Ranga, M.A.B.Ed",36180701307,18050308010,36180701307,ZPHS MALLAMPALLY,Sports Grant,03_HS,84,25000,18000,4250,2750
47,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS RAMAVARAM,Gazetted Headmaster,"L.Shailaja, M.A.B.Ed",3618070004,18050308014,36180700204,MPPS GOURAVELLI,Composit School Grant,01_PS,163,50000,36000,8500,5500
48,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS RAMAVARAM,Gazetted Headmaster,"L.Shailaja, M.A.B.Ed",3618070004,18050308014,36180700501,MPPS RAMAVARAM,Composit School Grant,01_PS,116,50000,36000,8500,5500
49,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS RAMAVARAM,Gazetted Headmaster,"L.Shailaja, M.A.B.Ed",3618070004,18050308014,36180700602,MPPS KUNDANAVANIPALLY,Composit School Grant,01_PS,33,25000,18000,4250,2750
50,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS RAMAVARAM,Gazetted Headmaster,"L.Shailaja, M.A.B.Ed",3618070004,18050308014,36180700609,MPUPS GANDIPALLY,Composit School Grant,02_UPS,96,25000,18000,4250,2750
51,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS RAMAVARAM,Gazetted Headmaster,"L.Shailaja, M.A.B.Ed",36180700503,18050308014,36180700503,ZPHS RAMAVARAM,Composit School Grant,03_HS,128,50000,36000,8500,5500
52,CRC Grant,SIDDIPET,AKKANNAPETA,ZPHS RAMAVARAM,Gazetted Headmaster,"L.Shailaja, M.A.B.Ed",3618070004,18050308014,3618070004,ZPHS RAMAVARAM,CRC Grant,05_CRC,,43000,30960,7310,4730
53,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS RAMAVARAM,Gazetted Headmaster,"L.Shailaja, M.A.B.Ed",36180700501,18050308014,36180700501,MPPS RAMAVARAM,Sports Grant,01_PS,116,5000,3600,850,550
54,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS RAMAVARAM,Gazetted Headmaster,"L.Shailaja, M.A.B.Ed",36180700609,18050308014,36180700609,MPUPS GANDIPALLY,Sports Grant,02_UPS,96,10000,7200,1700,1100
55,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS RAMAVARAM,Gazetted Headmaster,"L.Shailaja, M.A.B.Ed",36180700602,18050308014,36180700602,MPPS KUNDANAVANIPALLY,Sports Grant,01_PS,33,5000,3600,850,550
56,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS RAMAVARAM,Gazetted Headmaster,"L.Shailaja, M.A.,B.Ed",36180700204,18050308014,36180700204,MPPS GOURAVELLI,Sports Grant,01_PS,164,5000,3600,850,550
57,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS RAMAVARAM,Gazetted Headmaster,"L.Shailaja, M.A.,B.Ed",36180700503,18050308014,36180700503,ZPHS RAMAVARAM,Sports Grant,03_HS,128,25000,18000,4250,2750
58,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",3618070002,18050308035,36180700101,MPPS BODIGAPALLY,Composit School Grant,01_PS,28,10000,7200,1700,1100
59,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",3618070002,18050308035,36180700102,MPPS MALCHERUVU THANDA,Composit School Grant,01_PS,16,10000,7200,1700,1100
60,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",3618070002,18050308035,36180700103,MPPS IPPALAPALLY,Composit School Grant,01_PS,12,10000,7200,1700,1100
61,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",3618070002,18050308035,36180700106,MPUPS REGONDA,Composit School Grant,02_UPS,25,10000,7200,1700,1100
62,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",3618070002,18050308035,36180700108,MPPS GOVARDHANAGIRI,Composit School Grant,01_PS,79,25000,18000,4250,2750
63,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",3618070002,18050308035,36180700303,MPUPS POTHARAM J,Composit School Grant,02_UPS,25,10000,7200,1700,1100
64,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",3618070002,18050308035,36180700401,MPPS NANDARAM,Composit School Grant,01_PS,13,10000,7200,1700,1100
65,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",3618070002,18050308035,36180700402,MPPS KAPURNAIK THANDA,Composit School Grant,01_PS,20,10000,7200,1700,1100
66,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",3618070002,18050308035,36180700403,MPPS THUKKI THANDA,Composit School Grant,01_PS,27,10000,7200,1700,1100
67,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",3618070002,18050308035,36180700701,MPPS DHARMARAM,Composit School Grant,01_PS,50,25000,18000,4250,2750
68,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",3618070002,18050308035,36180700702,MPPS MASIREDDI THANDA,Composit School Grant,01_PS,53,25000,18000,4250,2750
69,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700109,18050308035,36180700109,ZPHS GOVARDHANAGIRI,Composit School Grant,03_HS,88,25000,18000,4250,2750
70,CRC Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",3618070002,18050308035,3618070002,ZPHS GOVARDHANGIRI,CRC Grant,05_CRC,,43000,30960,7310,4730
71,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700102,18050308035,36180700102,MPPS MALCHERUVU THANDA,Sports Grant,01_PS,16,5000,3600,850,550
72,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700303,18050308035,36180700303,MPUPS POTHARAM J,Sports Grant,02_UPS,25,10000,7200,1700,1100
73,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700106,18050308035,36180700106,MPUPS REGONDA,Sports Grant,02_UPS,25,10000,7200,1700,1100
74,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700403,18050308035,36180700403,MPPS THUKKI THANDA,Sports Grant,01_PS,27,5000,3600,850,550
75,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700401,18050308035,36180700401,MPPS NANDARAM,Sports Grant,01_PS,13,5000,3600,850,550
76,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700702,18050308035,36180700702,MPPS MASIREDDI THANDA,Sports Grant,01_PS,53,5000,3600,850,550
77,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700402,18050308035,36180700402,MPPS KAPURNAIK THANDA,Sports Grant,01_PS,24,5000,3600,850,550
78,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700103,18050308035,36180700103,MPPS IPPALAPALLY,Sports Grant,01_PS,12,5000,3600,850,550
79,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700108,18050308035,36180700108,MPPS GOVARDHANAGIRI,Sports Grant,01_PS,72,5000,3600,850,550
80,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700701,18050308035,36180700701,MPPS DHARMARAM,Sports Grant,01_PS,50,5000,3600,850,550
81,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700101,18050308035,36180700101,MPPS BODIGAPALLY,Sports Grant,01_PS,27,5000,3600,850,550
82,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS GOVARDHANAGIRI,Gazetted Headmaster,"V.Srinivas, M.A.,B.Ed",36180700109,18050308035,36180700109,ZPHS GOVARDHANAGIRI,Sports Grant,03_HS,87,25000,18000,4250,2750
83,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS JANAGOAN,Gazetted Headmaster,S.Sridevi,36180700804,18050308038,36180700804,ZPHS JANAGOAN,Composit School Grant,03_HS,75,25000,18000,4250,2750
84,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS JANAGOAN,Gazetted Headmaster,S.Sridevi,36180700804,18050308038,36180700804,ZPHS JANAGOAN,Sports Grant,03_HS,75,25000,18000,4250,2750
85,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS KESHAVAPUR,Gazetted Headmaster,...................,36180701204,18050308039,36180701204,ZPHS KESHAVAPUR,Composit School Grant,03_HS,49,25000,18000,4250,2750
86,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS KESHAVAPUR,Gazetted Headmaster,............................,36180701204,18050308039,36180701204,ZPHS KESHAVAPUR,Sports Grant,03_HS,49,25000,18000,4250,2750
87,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS KATKUR,Gazetted Headmaster,Ch.Raghu,36180701407,18050308040,36180701407,ZPHS KATKUR,Composit School Grant,03_HS,69,25000,18000,4250,2750
88,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS KATKUR,Gazetted Headmaster,Ch.Raghu,36180701407,18050308040,36180701407,ZPHS KATKUR,Sports Grant,03_HS,71,25000,18000,4250,2750
89,MRC Grant,SIDDIPET,AKKANNAPETA,MRC AKKANNAPET,Mandal Educational Officer,"G.Ranga, M.A.B.Ed",361807,18052202087,361807,MRC AKKANNAPET,MRC Grant,07_MRC,,90000,64800,15300,9900
90,MRC Grant,SIDDIPET,HUSNABAD,MRC HUSNABAD,Mandal Educational Officer,"B.Manila, M.A.,M.Ed",361806,18050308002,361806,MRC HUSNABAD,MRC Grant,07_MRC,,90000,64800,15300,9900
91,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",3618060002,18050308008,36180600101,MPPS POTLAPALLY,Composit School Grant,01_PS,49,25000,18000,4250,2750
92,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",3618060002,18050308008,36180600202,MPPS HUSNABAD,Composit School Grant,01_PS,197,50000,36000,8500,5500
93,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",3618060002,18050308008,36180600204,MPPS ARAPELLY,Composit School Grant,01_PS,61,25000,18000,4250,2750
94,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",3618060002,18050308008,36180600212,MPPS YELLAMBAZAR,Composit School Grant,01_PS,38,25000,18000,4250,2750
95,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",3618060002,18050308008,36180600302,MPPS  MADATHA,Composit School Grant,01_PS,28,10000,7200,1700,1100
96,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",3618060002,18050308008,36180600402,MPPS MOHAMMADAPUR,Composit School Grant,01_PS,61,25000,18000,4250,2750
97,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",3618060002,18050308008,36180601001,MPPS  KUCHANAPALLY,Composit School Grant,01_PS,50,25000,18000,4250,2750
98,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",3618060002,18050308008,36180601101,MPPS PANDILLA,Composit School Grant,01_PS,27,10000,7200,1700,1100
99,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",3618060002,18050308008,36180601102,MPPS (STAGE) PANDILLA ,Composit School Grant,01_PS,36,25000,18000,4250,2750
100,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",3618060002,18050308008,36180601103,MPPS BANJERUPALLY,Composit School Grant,01_PS,19,10000,7200,1700,1100
101,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",3618060002,18050308008,36180601104,MPPS MALAPALLY,Composit School Grant,01_PS,29,10000,7200,1700,1100
102,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180600222,18050308008,36180600222,ZPHS HUSNABAD,Composit School Grant,03_HS,261,75000,54000,12750,8250
103,CRC Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",3618060002,18050308008,3618060002,ZPHS HUSNABAD,CRC Grant,05_CRC,,43000,30960,7310,4730
104,Sports Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180600212,18050308008,36180600212,MPPS YELLAMBAZAR,Sports Grant,01_PS,38,5000,3600,850,550
105,Sports Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180600101,18050308008,36180600101,MPPS POTLAPALLY,Sports Grant,01_PS,49,5000,3600,850,550
